epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,977.211,0.57481,0.44841,1.02061,0.96374,0.93536,0.97899,0.92825,0.37592,0.33836,0.87193,0.0011882,0.0011882,0.0011882
43,1000.95,0.55143,0.43636,1.00806,0.94723,0.96188,0.98321,0.92332,0.38648,0.32654,0.87233,0.0011684,0.0011684,0.0011684
44,1024.28,0.55188,0.43938,1.00622,0.9649,0.96735,0.98546,0.94167,0.35724,0.28465,0.84382,0.0011486,0.0011486,0.0011486
45,1047.78,0.54993,0.42353,1.00775,0.97037,0.95601,0.98187,0.9459,0.32266,0.27967,0.83472,0.0011288,0.0011288,0.0011288
46,1071.39,0.53198,0.41051,1.00287,0.98773,0.94446,0.9843,0.93829,0.36688,0.2985,0.84624,0.001109,0.001109,0.001109
47,1094.78,0.53926,0.42743,0.99889,0.97053,0.96577,0.98358,0.9449,0.33775,0.28298,0.85148,0.0010892,0.0010892,0.0010892
48,1118.43,0.54969,0.43306,1.00504,0.98004,0.94428,0.98463,0.93709,0.35836,0.28988,0.86065,0.0010694,0.0010694,0.0010694
49,1141.87,0.5506,0.41982,1.0029,0.98802,0.95601,0.98442,0.94173,0.32828,0.27676,0.83131,0.0010496,0.0010496,0.0010496
50,1165.38,0.5433,0.41377,1.00365,0.96221,0.97067,0.98375,0.93981,0.36506,0.30967,0.84642,0.0010298,0.0010298,0.0010298
51,1188.66,0.52753,0.40314,0.99124,0.98212,0.96632,0.98595,0.94241,0.34556,0.28176,0.82681,0.00101,0.00101,0.00101
52,1212.31,0.52406,0.40066,0.98931,0.97358,0.97252,0.98533,0.95759,0.31896,0.27581,0.82434,0.0009902,0.0009902,0.0009902
53,1236.8,0.53348,0.40558,0.99231,0.97893,0.95352,0.98332,0.9508,0.31653,0.27599,0.83068,0.0009704,0.0009704,0.0009704
54,1261.58,0.51669,0.39982,0.983,0.9777,0.94428,0.98335,0.94424,0.32756,0.28924,0.83583,0.0009506,0.0009506,0.0009506
55,1288.76,0.50608,0.3881,0.98004,0.97991,0.95308,0.98516,0.94198,0.34831,0.29511,0.83804,0.0009308,0.0009308,0.0009308
56,1313.04,0.52162,0.39943,0.98547,0.97307,0.95376,0.98391,0.94493,0.34164,0.29758,0.83611,0.000911,0.000911,0.000911
57,1337.96,0.51503,0.39006,0.98481,0.97339,0.96539,0.98603,0.9359,0.36726,0.27835,0.84552,0.0008912,0.0008912,0.0008912
58,1363.9,0.51933,0.398,0.98965,0.96226,0.97202,0.98503,0.94962,0.34143,0.28344,0.83183,0.0008714,0.0008714,0.0008714
59,1387.77,0.50527,0.38996,0.98829,0.97957,0.95308,0.98582,0.94695,0.34283,0.27028,0.83444,0.0008516,0.0008516,0.0008516
60,1411.3,0.48151,0.36751,0.97098,0.99101,0.96927,0.98764,0.9555,0.32548,0.26597,0.83641,0.0008318,0.0008318,0.0008318
61,1434.86,0.50238,0.38207,0.98453,0.97843,0.97361,0.986,0.95889,0.31992,0.25523,0.82952,0.000812,0.000812,0.000812
62,1458.59,0.49927,0.37364,0.98053,0.98995,0.95894,0.98668,0.95181,0.31836,0.2561,0.82034,0.0007922,0.0007922,0.0007922
