epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.075,0.97807,1.8391,1.28863,0.66514,0.77337,0.85468,0.70455,0.66425,1.34108,1.20602,0.000551698,0.000551698,0.000551698
2,53.7793,0.91907,1.21385,1.22393,0.71536,0.73911,0.82268,0.6573,0.76144,1.09517,1.26027,0.0010964,0.0010964,0.0010964
3,79.0206,0.92076,1.06458,1.22021,0.61708,0.70005,0.69633,0.54001,0.78424,1.65111,1.28625,0.0016301,0.0016301,0.0016301
4,104.445,0.91276,0.98143,1.21897,0.83791,0.79291,0.8599,0.66972,0.7753,1.01461,1.19101,0.00161749,0.00161749,0.00161749
5,129.589,0.88122,0.89827,1.19099,0.87275,0.85248,0.91744,0.77987,0.59449,0.62547,1.07748,0.00160099,0.00160099,0.00160099
6,154.847,0.84104,0.83087,1.1726,0.96998,0.81075,0.89225,0.76251,0.60814,0.59906,1.05392,0.00158448,0.00158448,0.00158448
7,180.807,0.80999,0.77912,1.15295,0.92118,0.85714,0.91571,0.82187,0.48836,0.52316,0.98732,0.00156798,0.00156798,0.00156798
8,206.427,0.77949,0.73382,1.12607,0.93506,0.89241,0.93779,0.82682,0.48871,0.49388,0.98305,0.00155148,0.00155148,0.00155148
9,235.425,0.76889,0.69967,1.12261,0.89481,0.91773,0.94797,0.85375,0.44882,0.47093,0.9385,0.00153497,0.00153497,0.00153497
10,260.057,0.7577,0.69208,1.12116,0.85649,0.85502,0.8987,0.78725,0.53642,0.60549,1.01287,0.00151847,0.00151847,0.00151847
11,281.47,0.72681,0.65788,1.10557,0.90158,0.85516,0.92527,0.82181,0.47669,0.48865,0.93663,0.00150197,0.00150197,0.00150197
12,302.348,0.73406,0.66063,1.10388,0.91069,0.85394,0.91936,0.80794,0.49398,0.48077,0.97652,0.00148546,0.00148546,0.00148546
13,323.231,0.71655,0.63672,1.09501,0.89929,0.92406,0.94475,0.84718,0.48066,0.43705,0.93801,0.00146896,0.00146896,0.00146896
14,344.491,0.68486,0.59488,1.07479,0.934,0.86214,0.92152,0.83562,0.44944,0.46159,0.92279,0.00145246,0.00145246,0.00145246
15,365.018,0.72083,0.63032,1.09812,0.91644,0.90974,0.95183,0.84557,0.46164,0.42007,0.93472,0.00143595,0.00143595,0.00143595
16,385.04,0.68128,0.59292,1.07362,0.93974,0.84941,0.93177,0.82721,0.48873,0.48101,0.91932,0.00141945,0.00141945,0.00141945
17,405.037,0.6808,0.59522,1.0779,0.90639,0.90652,0.9416,0.8689,0.42155,0.40219,0.88735,0.00140295,0.00140295,0.00140295
18,425.035,0.66221,0.55744,1.06226,0.94985,0.85596,0.93841,0.86073,0.42228,0.43363,0.88717,0.00138644,0.00138644,0.00138644
19,445.319,0.6701,0.58014,1.07229,0.93316,0.88688,0.94786,0.85723,0.43975,0.39901,0.89035,0.00136994,0.00136994,0.00136994
20,465.306,0.63871,0.53922,1.05579,0.93366,0.94322,0.95859,0.86289,0.44858,0.38164,0.90932,0.00135344,0.00135344,0.00135344
21,485.359,0.65224,0.5528,1.05773,0.93348,0.92176,0.94792,0.84408,0.4776,0.42238,0.91592,0.00133693,0.00133693,0.00133693
22,505.41,0.62997,0.53815,1.04227,0.92052,0.93277,0.95377,0.86419,0.43936,0.42345,0.92964,0.00132043,0.00132043,0.00132043
23,525.484,0.64364,0.53035,1.0536,0.94183,0.92588,0.95557,0.87983,0.391,0.37833,0.89136,0.00130393,0.00130393,0.00130393
24,545.558,0.60898,0.51608,1.03858,0.90081,0.91034,0.94364,0.85805,0.40454,0.39781,0.89121,0.00128742,0.00128742,0.00128742
25,566.709,0.64782,0.53034,1.05637,0.93685,0.90336,0.94157,0.87126,0.42511,0.39237,0.88263,0.00127092,0.00127092,0.00127092
26,587.295,0.59938,0.49783,1.03515,0.91297,0.94118,0.95502,0.8852,0.40239,0.36676,0.8756,0.00125442,0.00125442,0.00125442
27,607.406,0.60898,0.49446,1.03599,0.92892,0.9413,0.95575,0.86017,0.46968,0.36975,0.89741,0.00123791,0.00123791,0.00123791
28,627.427,0.5969,0.4777,1.02622,0.94941,0.94118,0.96176,0.88695,0.40698,0.36352,0.88806,0.00122141,0.00122141,0.00122141
29,647.477,0.60842,0.49275,1.02825,0.93124,0.94538,0.95656,0.90612,0.35631,0.34564,0.862,0.00120491,0.00120491,0.00120491
30,667.528,0.59962,0.49537,1.03459,0.90448,0.92017,0.9449,0.85503,0.45962,0.38051,0.90566,0.0011884,0.0011884,0.0011884
31,687.546,0.61043,0.49462,1.03041,0.88879,0.94792,0.94757,0.88037,0.37574,0.35426,0.88405,0.0011719,0.0011719,0.0011719
32,707.564,0.58177,0.47913,1.01711,0.9172,0.95973,0.95977,0.89502,0.36735,0.34451,0.8566,0.0011554,0.0011554,0.0011554
33,727.62,0.57873,0.47027,1.02408,0.95481,0.90738,0.9566,0.89815,0.36541,0.34034,0.85498,0.00113889,0.00113889,0.00113889
34,747.77,0.58432,0.47087,1.01776,0.95544,0.93697,0.96073,0.88982,0.37802,0.32379,0.84027,0.00112239,0.00112239,0.00112239
35,767.899,0.57523,0.46296,1.02024,0.88439,0.91747,0.93295,0.86691,0.38998,0.38407,0.86292,0.00110589,0.00110589,0.00110589
36,787.951,0.56554,0.44703,1.01825,0.94632,0.94958,0.9642,0.89318,0.38314,0.33763,0.85793,0.00108938,0.00108938,0.00108938
37,808.036,0.56544,0.44766,1.0092,0.8953,0.95378,0.95071,0.87186,0.4202,0.38283,0.86187,0.00107288,0.00107288,0.00107288
38,828.105,0.56289,0.45295,1.00968,0.94993,0.96039,0.96422,0.89261,0.39492,0.31523,0.85506,0.00105638,0.00105638,0.00105638
39,848.198,0.56599,0.45326,1.00736,0.91759,0.93261,0.95746,0.90473,0.36367,0.32528,0.8427,0.00103987,0.00103987,0.00103987
40,868.228,0.55558,0.43824,1.00633,0.95598,0.94276,0.96543,0.91369,0.35789,0.29721,0.84617,0.00102337,0.00102337,0.00102337
41,888.306,0.5687,0.4368,1.0072,0.94665,0.94118,0.96114,0.8819,0.4243,0.34274,0.85572,0.00100687,0.00100687,0.00100687
42,908.365,0.56668,0.4464,1.01842,0.96695,0.92313,0.96295,0.90889,0.35142,0.32829,0.84467,0.000990365,0.000990365,0.000990365
43,928.439,0.55056,0.43713,1.00626,0.95876,0.94299,0.96637,0.88103,0.42995,0.33473,0.85668,0.000973861,0.000973861,0.000973861
44,948.895,0.54328,0.43627,1.00065,0.97287,0.93277,0.96228,0.9065,0.35809,0.29952,0.85472,0.000957358,0.000957358,0.000957358
45,968.916,0.53904,0.41651,1.00019,0.96944,0.96049,0.9725,0.91698,0.35182,0.28521,0.84579,0.000940855,0.000940855,0.000940855
46,988.953,0.51917,0.40308,0.99705,0.97008,0.91779,0.96387,0.90424,0.37132,0.32576,0.83642,0.000924352,0.000924352,0.000924352
47,1008.98,0.52229,0.41813,0.98972,0.91779,0.96218,0.9598,0.90393,0.33959,0.32792,0.84879,0.000907848,0.000907848,0.000907848
48,1029.01,0.54369,0.4221,1.00104,0.95294,0.95629,0.9653,0.90155,0.37287,0.31256,0.87241,0.000891345,0.000891345,0.000891345
49,1049.06,0.5362,0.41155,0.99598,0.97202,0.95218,0.96977,0.91594,0.33709,0.27547,0.83547,0.000874842,0.000874842,0.000874842
50,1069.08,0.53505,0.41016,0.99946,0.94835,0.94958,0.96183,0.89388,0.39409,0.30576,0.85499,0.000858338,0.000858338,0.000858338
51,1089.11,0.51493,0.39873,0.98406,0.93334,0.95798,0.96678,0.91856,0.34561,0.28673,0.83757,0.000841835,0.000841835,0.000841835
52,1109.13,0.51488,0.39351,0.98513,0.94914,0.94412,0.96026,0.90193,0.35513,0.3147,0.84102,0.000825332,0.000825332,0.000825332
53,1129.13,0.51375,0.3968,0.98358,0.93636,0.94958,0.95911,0.90533,0.35141,0.31716,0.85105,0.000808828,0.000808828,0.000808828
54,1149.16,0.5143,0.39063,0.9828,0.95907,0.96218,0.9671,0.9188,0.35005,0.28093,0.85065,0.000792325,0.000792325,0.000792325
55,1169.2,0.49708,0.38292,0.97333,0.94852,0.96218,0.96782,0.90983,0.35133,0.29214,0.85974,0.000775822,0.000775822,0.000775822
56,1189.19,0.5177,0.39211,0.98466,0.95175,0.96207,0.96555,0.90784,0.35839,0.29999,0.84684,0.000759318,0.000759318,0.000759318
57,1209.19,0.50403,0.38326,0.98008,0.98073,0.96218,0.97162,0.90928,0.3614,0.27523,0.84219,0.000742815,0.000742815,0.000742815
58,1229.22,0.50409,0.3838,0.97968,0.91634,0.95896,0.95567,0.90616,0.36424,0.30064,0.8418,0.000726312,0.000726312,0.000726312
59,1249.22,0.49379,0.37753,0.98175,0.95774,0.96218,0.9722,0.92267,0.35001,0.28625,0.85096,0.000709809,0.000709809,0.000709809
60,1269.17,0.47211,0.3604,0.96724,0.97308,0.96218,0.9711,0.91913,0.34088,0.25896,0.84088,0.000693305,0.000693305,0.000693305
