epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,647.486,1.08321,0.93163,1.13274,0.89549,0.8651,0.9481,0.89566,0.38281,0.41664,0.81354,0.000990365,0.000990365,0.000990365
43,662.82,1.07341,0.91158,1.13039,0.88024,0.87019,0.94713,0.89295,0.37975,0.46447,0.82274,0.000973861,0.000973861,0.000973861
44,677.665,1.05531,0.9183,1.12862,0.89582,0.86817,0.9431,0.89788,0.35646,0.42592,0.80628,0.000957358,0.000957358,0.000957358
45,692.683,1.05007,0.89901,1.11565,0.89364,0.86058,0.94075,0.88635,0.38712,0.43217,0.81345,0.000940855,0.000940855,0.000940855
46,707.853,1.06911,0.90911,1.12817,0.89604,0.86058,0.94747,0.87819,0.37012,0.42772,0.81181,0.000924352,0.000924352,0.000924352
47,723.049,1.05479,0.89458,1.12237,0.89545,0.86472,0.94467,0.89311,0.36203,0.41225,0.80735,0.000907848,0.000907848,0.000907848
48,738.253,1.01792,0.8769,1.10572,0.89128,0.86709,0.94382,0.89268,0.35577,0.41421,0.8076,0.000891345,0.000891345,0.000891345
49,754.094,1.03856,0.88443,1.1116,0.8978,0.86058,0.94113,0.89726,0.36684,0.42084,0.80909,0.000874842,0.000874842,0.000874842
50,769.624,1.03181,0.86635,1.10598,0.89411,0.86058,0.94093,0.90002,0.34597,0.41037,0.80632,0.000858338,0.000858338,0.000858338
51,785.186,1.04288,0.86482,1.11353,0.89549,0.86508,0.94381,0.89887,0.3707,0.40284,0.80947,0.000841835,0.000841835,0.000841835
52,800.235,1.0104,0.84241,1.09736,0.8954,0.86429,0.94267,0.89132,0.37253,0.41394,0.80816,0.000825332,0.000825332,0.000825332
53,815.143,1.0169,0.85156,1.09877,0.89541,0.86433,0.94608,0.8988,0.35385,0.39225,0.80305,0.000808828,0.000808828,0.000808828
54,830.637,1.01452,0.85747,1.10394,0.89541,0.86435,0.94376,0.89568,0.36507,0.40041,0.80167,0.000792325,0.000792325,0.000792325
55,845.661,1.00148,0.83785,1.08799,0.89393,0.86058,0.94111,0.89122,0.34621,0.40632,0.80351,0.000775822,0.000775822,0.000775822
56,860.644,0.99935,0.84049,1.08262,0.89548,0.86504,0.94923,0.8972,0.36156,0.38623,0.80638,0.000759318,0.000759318,0.000759318
57,875.894,0.9876,0.80821,1.08515,0.89413,0.86058,0.94642,0.89713,0.34823,0.38956,0.8021,0.000742815,0.000742815,0.000742815
58,891.052,0.97978,0.81445,1.08283,0.89466,0.86058,0.94474,0.90028,0.3397,0.39027,0.80689,0.000726312,0.000726312,0.000726312
59,906.18,0.99087,0.82375,1.07843,0.89788,0.86058,0.94431,0.8841,0.35936,0.39591,0.80739,0.000709809,0.000709809,0.000709809
60,921.412,0.97954,0.80681,1.084,0.89612,0.87092,0.94291,0.90445,0.32664,0.40872,0.80096,0.000693305,0.000693305,0.000693305
61,936.598,1.00195,0.8066,1.08629,0.89588,0.86874,0.94892,0.8961,0.34348,0.38709,0.80241,0.000676802,0.000676802,0.000676802
62,951.519,0.97194,0.79463,1.07196,0.89832,0.86058,0.94262,0.89989,0.34292,0.37308,0.80238,0.000660299,0.000660299,0.000660299
63,966.577,0.97208,0.78557,1.07579,0.89376,0.86058,0.94404,0.90557,0.32549,0.37712,0.79648,0.000643795,0.000643795,0.000643795
64,981.705,0.96971,0.77551,1.07488,0.89382,0.86058,0.94702,0.89814,0.3337,0.37863,0.79763,0.000627292,0.000627292,0.000627292
65,996.683,0.95201,0.76814,1.06396,0.89386,0.86058,0.94961,0.89822,0.34791,0.37096,0.80231,0.000610789,0.000610789,0.000610789
66,1012.04,0.96115,0.77168,1.05925,0.90042,0.86944,0.94705,0.89788,0.34536,0.37696,0.80108,0.000594286,0.000594286,0.000594286
67,1027.06,0.97908,0.77908,1.06332,0.89577,0.86058,0.94558,0.89807,0.32793,0.37588,0.79832,0.000577782,0.000577782,0.000577782
68,1042.65,0.95759,0.77956,1.05571,0.89661,0.86058,0.94287,0.89581,0.33458,0.38045,0.80039,0.000561279,0.000561279,0.000561279
69,1057.65,0.9462,0.7553,1.05762,0.89475,0.86058,0.9433,0.90231,0.33196,0.37673,0.80147,0.000544776,0.000544776,0.000544776
70,1072.75,0.93818,0.73849,1.05279,0.89431,0.86058,0.94377,0.89978,0.33542,0.38661,0.79832,0.000528272,0.000528272,0.000528272
71,1087.98,0.92593,0.73734,1.04007,0.89584,0.85577,0.94712,0.90445,0.32559,0.36091,0.79692,0.000511769,0.000511769,0.000511769
72,1103.19,0.94024,0.73714,1.05016,0.89347,0.86058,0.94546,0.90365,0.31911,0.37405,0.79942,0.000495266,0.000495266,0.000495266
73,1118.54,0.929,0.73106,1.04464,0.89495,0.86058,0.94427,0.90041,0.33143,0.37064,0.79705,0.000478762,0.000478762,0.000478762
74,1134.74,0.94846,0.74036,1.05041,0.89482,0.86058,0.94592,0.90378,0.32806,0.38704,0.79547,0.000462259,0.000462259,0.000462259
75,1150.17,0.93459,0.72515,1.03835,0.89125,0.86058,0.94533,0.90265,0.32586,0.36457,0.79571,0.000445756,0.000445756,0.000445756
76,1165.22,0.9149,0.7078,1.03874,0.8954,0.86429,0.94692,0.91017,0.32367,0.38068,0.79372,0.000429253,0.000429253,0.000429253
77,1180.39,0.91296,0.71719,1.03484,0.89527,0.8631,0.94628,0.90059,0.33229,0.36342,0.79636,0.000412749,0.000412749,0.000412749
78,1195.41,0.91837,0.71393,1.03792,0.89942,0.85983,0.94551,0.90206,0.33114,0.36598,0.79775,0.000396246,0.000396246,0.000396246
79,1210.49,0.89425,0.70896,1.02749,0.88696,0.86538,0.9446,0.90179,0.32401,0.36446,0.7954,0.000379743,0.000379743,0.000379743
80,1225.79,0.91379,0.69934,1.02497,0.89541,0.86435,0.94316,0.9017,0.33424,0.36789,0.79823,0.000363239,0.000363239,0.000363239
81,1240.83,0.90204,0.70677,1.02969,0.89537,0.86399,0.94403,0.89833,0.32878,0.36657,0.79893,0.000346736,0.000346736,0.000346736
82,1255.86,0.88524,0.69329,1.01898,0.8955,0.86521,0.94658,0.90248,0.32389,0.36132,0.79494,0.000330233,0.000330233,0.000330233
83,1270.98,0.89129,0.68732,1.02926,0.89507,0.86127,0.94318,0.90224,0.31754,0.36563,0.79531,0.000313729,0.000313729,0.000313729
84,1285.95,0.89216,0.69214,1.01511,0.89259,0.85577,0.94435,0.90262,0.31649,0.35555,0.79437,0.000297226,0.000297226,0.000297226
85,1301.31,0.86161,0.66993,1.01858,0.8955,0.86519,0.94389,0.89952,0.31088,0.3551,0.7916,0.000280723,0.000280723,0.000280723
