epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,520.854,1.0175,0.89553,1.11369,0.74571,0.67216,0.72268,0.58874,1.08554,0.99624,1.17387,0.000990365,0.000990365,0.000990365
43,532.872,1.03745,0.89421,1.12548,0.75954,0.66491,0.71665,0.57832,1.11785,1.02628,1.21166,0.000973861,0.000973861,0.000973861
44,544.916,0.99189,0.88579,1.1054,0.80048,0.64884,0.71959,0.57823,1.11196,0.98933,1.18444,0.000957358,0.000957358,0.000957358
45,556.926,1.01417,0.89939,1.11498,0.73261,0.68451,0.72601,0.58708,1.08322,0.98922,1.19254,0.000940855,0.000940855,0.000940855
46,568.93,0.97132,0.8806,1.10384,0.7744,0.675,0.72858,0.59508,1.08157,0.97434,1.17878,0.000924352,0.000924352,0.000924352
47,580.974,1.00629,0.87631,1.10784,0.80272,0.6627,0.73456,0.59124,1.09027,0.96614,1.1716,0.000907848,0.000907848,0.000907848
48,593.036,0.98305,0.8515,1.08499,0.78165,0.66797,0.73045,0.58927,1.10915,0.98899,1.19331,0.000891345,0.000891345,0.000891345
49,605.103,1.01272,0.87668,1.11001,0.80055,0.65937,0.72944,0.58855,1.09259,0.98762,1.17874,0.000874842,0.000874842,0.000874842
50,617.101,1.00176,0.85924,1.09631,0.8385,0.62934,0.72452,0.59051,1.07202,1.03701,1.17117,0.000858338,0.000858338,0.000858338
51,629.086,0.95843,0.84215,1.07968,0.74412,0.69594,0.73718,0.59655,1.07599,1.00792,1.17065,0.000841835,0.000841835,0.000841835
52,641.111,0.99879,0.8481,1.08135,0.78227,0.67172,0.7323,0.58672,1.12335,0.98057,1.18767,0.000825332,0.000825332,0.000825332
53,653.124,0.95724,0.81996,1.07964,0.76769,0.67782,0.73931,0.59711,1.07606,0.94377,1.16915,0.000808828,0.000808828,0.000808828
54,665.13,0.96612,0.81771,1.09092,0.79793,0.66145,0.73385,0.60333,1.0671,0.95248,1.16905,0.000792325,0.000792325,0.000792325
55,677.224,0.9588,0.80412,1.0761,0.81311,0.66254,0.72941,0.59287,1.09984,1.00114,1.18632,0.000775822,0.000775822,0.000775822
56,689.283,0.96125,0.82147,1.06277,0.78161,0.6604,0.71958,0.58345,1.09904,1.03521,1.18857,0.000759318,0.000759318,0.000759318
57,701.367,0.91461,0.79249,1.06504,0.81862,0.6562,0.73261,0.59786,1.07656,0.97618,1.18002,0.000742815,0.000742815,0.000742815
58,713.398,0.98113,0.82367,1.08168,0.79798,0.67355,0.73003,0.59862,1.08354,0.94315,1.19102,0.000726312,0.000726312,0.000726312
59,725.63,0.91243,0.77821,1.04817,0.78472,0.67451,0.72822,0.59328,1.0954,0.9521,1.17792,0.000709809,0.000709809,0.000709809
60,737.633,0.92653,0.7881,1.05411,0.82438,0.65674,0.74061,0.5946,1.09601,0.94425,1.18303,0.000693305,0.000693305,0.000693305
61,749.64,0.92321,0.76848,1.05726,0.7579,0.69992,0.73545,0.59715,1.06193,0.96585,1.15602,0.000676802,0.000676802,0.000676802
62,761.577,0.91927,0.77647,1.05468,0.76458,0.69848,0.73498,0.59347,1.08373,1.02337,1.18262,0.000660299,0.000660299,0.000660299
63,773.591,0.92547,0.77301,1.06174,0.79203,0.68098,0.74625,0.60645,1.04566,0.90592,1.16441,0.000643795,0.000643795,0.000643795
64,785.601,0.90014,0.7561,1.04821,0.81277,0.65884,0.72452,0.58952,1.08122,0.9945,1.17588,0.000627292,0.000627292,0.000627292
65,797.652,0.92002,0.75173,1.05116,0.82221,0.67416,0.74908,0.60986,1.07247,0.91621,1.17846,0.000610789,0.000610789,0.000610789
66,809.702,0.91813,0.75535,1.05243,0.83085,0.66161,0.74456,0.6051,1.05308,0.9245,1.15688,0.000594286,0.000594286,0.000594286
67,821.741,0.90976,0.75046,1.04948,0.83695,0.65884,0.74129,0.61261,1.02833,0.9099,1.14822,0.000577782,0.000577782,0.000577782
68,833.791,0.90716,0.73487,1.04394,0.78716,0.67786,0.73918,0.6051,1.06223,0.9004,1.1669,0.000561279,0.000561279,0.000561279
69,845.815,0.93,0.75445,1.04178,0.75252,0.70043,0.73494,0.60066,1.05708,0.99788,1.16765,0.000544776,0.000544776,0.000544776
70,857.809,0.88673,0.71888,1.04233,0.78436,0.67782,0.74254,0.60598,1.05856,0.93412,1.17195,0.000528272,0.000528272,0.000528272
71,869.81,0.86218,0.72193,1.02639,0.77251,0.68761,0.73503,0.60555,1.04473,0.94249,1.15719,0.000511769,0.000511769,0.000511769
72,881.831,0.91159,0.72991,1.04052,0.81136,0.66793,0.7392,0.60203,1.06224,0.95447,1.16669,0.000495266,0.000495266,0.000495266
73,893.917,0.8811,0.70994,1.02734,0.8217,0.66378,0.73925,0.60367,1.06335,0.95586,1.15994,0.000478762,0.000478762,0.000478762
74,905.945,0.87845,0.71519,1.03019,0.76567,0.69972,0.74276,0.60802,1.04488,0.93024,1.15829,0.000462259,0.000462259,0.000462259
75,917.946,0.85269,0.68037,1.01059,0.82303,0.66803,0.73552,0.60693,1.0715,0.94038,1.17405,0.000445756,0.000445756,0.000445756
76,929.954,0.87641,0.6993,1.02535,0.80648,0.67752,0.74494,0.60927,1.03878,0.89494,1.14774,0.000429253,0.000429253,0.000429253
77,941.974,0.84584,0.67536,1.01979,0.8124,0.67595,0.74038,0.60852,1.03696,0.92247,1.14389,0.000412749,0.000412749,0.000412749
78,953.974,0.8545,0.69224,1.02777,0.83563,0.67172,0.74561,0.61053,1.04469,0.92817,1.15272,0.000396246,0.000396246,0.000396246
79,966.003,0.85481,0.6836,1.01691,0.77656,0.70604,0.7478,0.61701,1.0372,0.9147,1.15573,0.000379743,0.000379743,0.000379743
80,978.044,0.82335,0.66753,1.01179,0.81832,0.68791,0.73958,0.61021,1.05057,0.94057,1.15641,0.000363239,0.000363239,0.000363239
81,990.062,0.82279,0.66466,1.0077,0.82781,0.67902,0.74545,0.60993,1.04748,0.9415,1.16371,0.000346736,0.000346736,0.000346736
82,1002.28,0.83822,0.66308,1.00613,0.81233,0.69892,0.74644,0.61474,1.04373,0.91583,1.15705,0.000330233,0.000330233,0.000330233
83,1014.31,0.83038,0.67135,1.01395,0.82579,0.67774,0.75047,0.61784,1.04732,0.90962,1.16053,0.000313729,0.000313729,0.000313729
84,1026.69,0.82465,0.65394,1.00041,0.82394,0.68066,0.7497,0.61332,1.04917,0.9288,1.17019,0.000297226,0.000297226,0.000297226
